id,recorded_at,step_type,strike,option_type,expiry,candle_time,open,high,low,close,raw_volume,is_interval_volume,incremental_volume,typical_price,formula,tpv_added,cum_tpv_before,cum_volume_before,vwap_before,cum_tpv_after,cum_volume_after,vwap_after
55,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:00:00+05:30,185.15,189.45,180.8,184.65,338195,1,338195.0,185.01250000000002,OHLC/4,62570302.43750001,1179423039.4375,5830890.0,202.27152963569884,1241993341.875,6169085.0,201.32537351568345
56,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:05:00+05:30,184.65,190.5,180.95,182.6,307645,1,307645.0,184.67499999999998,OHLC/4,56814340.37499999,1241993341.875,6169085.0,201.32537351568345,1298807682.25,6476730.0,200.5344799381787
57,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:10:00+05:30,182.4,186.5,172.0,173.55,272155,1,272155.0,178.6125,OHLC/4,48610284.9375,1298807682.25,6476730.0,200.5344799381787,1347417967.1875,6748885.0,199.65045591790349
58,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:15:00+05:30,173.55,176.7,165.3,166.15,477100,1,477100.0,170.42499999999998,OHLC/4,81309767.49999999,1347417967.1875,6748885.0,199.65045591790349,1428727734.6875,7225985.0,197.7208276363015
59,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:20:00+05:30,165.65,170.35,151.6,153.95,697320,1,697320.0,160.3875,OHLC/4,111841411.49999999,1428727734.6875,7225985.0,197.7208276363015,1540569146.1875,7923305.0,194.43516893360788
60,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:25:00+05:30,153.55,160.15,153.25,155.65,805870,1,805870.0,155.65,OHLC/4,125433665.5,1540569146.1875,7923305.0,194.43516893360788,1666002811.6875,8729175.0,190.85455517703562
61,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:30:00+05:30,155.2,158.05,152.1,155.85,584935,1,584935.0,155.3,OHLC/4,90840405.5,1666002811.6875,8729175.0,190.85455517703562,1756843217.1875,9314110.0,188.6216951686742
62,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:35:00+05:30,155.85,156.85,148.1,155.0,850525,1,850525.0,153.95,OHLC/4,130938323.74999999,1756843217.1875,9314110.0,188.6216951686742,1887781540.9375,10164635.0,185.72054391894054
63,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:40:00+05:30,155.0,156.55,148.05,153.4,550940,1,550940.0,153.25,OHLC/4,84431555.0,1887781540.9375,10164635.0,185.72054391894054,1972213095.9375,10715575.0,184.05107480816474
64,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:45:00+05:30,153.1,154.2,144.5,150.4,990665,1,990665.0,150.54999999999998,OHLC/4,149144615.74999997,1972213095.9375,10715575.0,184.05107480816474,2121357711.6875,11706240.0,181.21597640980366
65,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:50:00+05:30,150.55,151.15,146.2,149.15,1037335,1,1037335.0,149.26250000000002,OHLC/4,154835215.43750003,2121357711.6875,11706240.0,181.21597640980366,2276192927.125,12743575.0,178.6149433832343
66,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 11:55:00+05:30,149.2,152.75,146.25,150.15,1090310,1,1090310.0,149.5875,OHLC/4,163096747.125,2276192927.125,12743575.0,178.6149433832343,2439289674.25,13833885.0,176.32716147705435
67,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 12:00:00+05:30,149.75,151.4,140.75,146.45,1726985,1,1726985.0,147.08749999999998,OHLC/4,254017906.18749997,2439289674.25,13833885.0,176.32716147705435,2693307580.4375,15560870.0,173.08206934686172
